,BUS_I,BUS_TYPE,PD,QD,GS,BS,BUS_AREA,VM,VA,BASE_KV,ZONE,VMAX,VMIN
0,21,2,2.131433e+01,0,0,79.521877,1,1.0486,11.8582,24,1,1.1,0.9
1,29,1,9.536379e+03,0,0,449.351214,1,1.02751,3.2234,345,1,1.1,0.9
2,35,1,2.798107e+03,177,0,212.875742,1,0.99524,0.0743,345,1,1.1,0.9
3,37,1,-2.36E-12,0,0,140,2,1.04419,4.6062,345,1,1.1,0.9
4,38,1,1.398926e-12,0,0,52,2,1.0421,6.9752,345,1,1.1,0.9
5,39,2,2.879000e+02,58.460588,0,53,2,1.041,3.2739,345,1,1.1,0.9
6,40,1,-2.62E-12,0,0,23,2,1.03072,0.5762,230,1,1.1,0.9
7,41,1,1.281152e+03,260.148939,0,10,2,1.02634,-3.3709,115,1,1.1,0.9
8,42,2,3.239483e+02,65.780517,0,3.5,2,1.04,-2.5665,115,1,1.1,0.9
9,43,1,-1.32E-12,0,0,85.5,2,1.04908,8.343,345,1,1.1,0.9
10,44,1,-6.16E-13,0,0,59.5,2,1.04792,6.5696,230,1,1.1,0.9
11,45,2,3.055504e+02,62.044662,0,24.5,2,1.04349,3.9472,115,1,1.1,0.9
12,46,1,2.745180e+01,5.574325,0,13.5,2,1.04781,6.185,115,1,1.1,0.9
13,47,2,6.301978e+02,127.967115,0,2.5,2,1.03,11.6793,230,1,1.1,0.9
14,48,2,0.000000e+00,0,0,39.5,2,1.05,15.0127,230,1,1.1,0.9
15,49,1,5.036000e+02,102.260341,0,3,2,0.96523,-1.1162,115,1,1.1,0.9
16,50,2,-2.73E-12,0,0,84,2,1.05,13.2144,345,1,1.1,0.9
17,51,2,1.003696e+03,203.809085,0,30,2,1.04,8.5283,115,1,1.1,0.9
18,52,1,2.925423e+02,59.403238,0,64,2,1.04193,19.413,345,1,1.1,0.9
19,53,1,1.092158e+03,221.772089,0,28.5,2,1.03,18.0053,115,1,1.1,0.9
20,54,1,1.800417e+01,3.655903,0,16,2,1.0408,26.9321,230,1,1.1,0.9
21,55,2,8.452959e+02,171.644647,0,18,2,1.04,26.2095,230,1,1.1,0.9
22,56,2,1.548359e+02,31.440766,0,9,2,1.03,26.8995,230,1,1.1,0.9
23,57,2,2.160501e+02,43.870836,0,2.5,2,1.03,25.7233,115,1,1.1,0.9
24,58,1,7.561752e+01,15.354793,0,20.5,2,1.0101,24.5883,230,1,1.1,0.9
25,59,1,6.346471e+02,128.870582,0,6.5,2,0.99669,22.1857,115,1,1.1,0.9
26,60,2,1.094236e-12,0,0,20.495559,2,1.04,30.2181,230,1,1.1,0.9
27,61,2,2.133494e+02,43.322451,0,3,2,1.04,26.727,115,1,1.1,0.9
28,62,2,-6.81E-13,0,0,15.5,2,1.01628,23.9633,230,1,1.1,0.9
29,63,1,-8.78E-13,0,0,16.5,2,1.00548,17.6467,230,1,1.1,0.9
30,64,1,1.963454e+02,39.86963,0,9,2,1.00715,14.5476,115,1,1.1,0.9
31,65,2,1.249471e+02,25.371582,0,5,2,1.04,15.7558,115,1,1.1,0.9
32,66,1,-1.79E-13,0,0,71.5,2,1.01975,20.8736,345,1,1.1,0.9
33,67,1,-2.91E-12,0,0,19.5,2,1.00265,16.6813,230,1,1.1,0.9
34,68,1,2.897124e+02,58.828614,0,10,2,0.99,12.7432,115,1,1.1,0.9
35,69,1,1.242926e-12,0,0,53,2,1.01948,14.3356,345,1,1.1,0.9
36,70,1,9.155598e-13,0,0,6,2,0.99894,13.5662,230,1,1.1,0.9
37,71,2,5.093995e+02,103.43799,0,14.5,2,1,11.1142,115,1,1.1,0.9
38,72,1,-8.53E-13,0,0,20,2,1.05,10.1183,115,1,1.1,0.9
39,73,1,2.879000e+02,58.460588,0,65,3,1.03292,1.6376,345,1,1.1,0.9
40,74,3,4.039000e+02,82.015393,0,37,3,1.02708,0.2979,345,1,1.1,0.9
41,75,1,1.439500e+02,29.230294,0,69.5,3,1.04944,1.2631,138,1,1.1,0.9
42,76,1,1.439500e+02,29.230294,0,68.5,3,1.04639,0.7974,345,1,1.1,0.9
43,77,2,5.758000e+02,116.921177,0,72.5,3,1.03539,0.5458,345,1,1.1,0.9
44,78,1,9.371000e+02,190.286271,0,41,3,1.02,0,345,1,1.1,0.9
45,79,2,1.512386e+03,307.103018,0,0,3,1.05,8.1715,22,1,1.1,0.9
46,80,2,2.016514e+03,409.47069,0,25,3,1.0232,0.6309,138,1,1.1,0.9
47,81,1,4.177100e+03,848.196331,0,0,3,1.02198,-3.2846,345,1,1.1,0.9
48,82,2,4.177100e+03,848.196331,0,0,3,1.05,7.568,22,1,1.1,0.9
49,100,1,1.048739e+03,0,0,11.250489,4,1.03248,26.3181,220,1,1.1,0.9
50,102,1,-184.395545,0,0,41.063499,4,1.0455,25.5246,220,1,1.1,0.9
51,103,1,12845.01348,0,0,56.188068,4,1.04629,25.3162,220,1,1.1,0.9
52,124,1,3233.665824,49,0,428.476589,6,1.04471,2.3841,230,1,1.1,0.9
53,125,1,1477.27767,5,0,14.927005,6,1.02196,-3.416,230,1,1.1,0.9
54,132,1,14662.50565,-337,0,935.363613,6,1.03978,19.5565,500,1,1.1,0.9
55,134,2,-704.249231,0,0,204.24158,6,1.03,25.5764,230,1,1.1,0.9
56,138,1,322.212481,64,0,9.035767,6,0.97073,13.5527,230,1,1.1,0.9
